id_cliente,nombre_estudiante_om,edad_declarada,ingreso_mensual_ars,sucursal_registro,fecha_inscripcion,id_sesion_basura_99,color_favorito_hex
1032,Sofía Martínez,66.0,30173,Maipú,2026/08/11,SYS-ID-93320,#3333FF
1110,ana perez,54.0,38504,Maypu,10-08-2026,SYS-ID-84341,#FF5733
1137,facundo cortinas,48.0,20837,mendoza,13-08-2026,SYS-ID-81482,#33FFF0
1089,Rocío S.,,41057,G. Cruz,12-08-2026,SYS-ID-64987,#F0FF33
1919,María Rodríguez,,23375,Maipú,2026-08-13,SYS-ID-61856,#3333FF
1314,Sofia Martinez,61.0,,san rafael,13-08-2026,SYS-ID-79163,#F0FF33
,Luciano Y.,37.0,14321,G. Cruz,13/08/26,SYS-ID-13905,#F0FF33
1319,Ana Perez ,42.0,,Maipu  ,11/08/2026,SYS-ID-57400,#FF33F5
1262,S. Martinez,45.0,17401,Maypu,2026.08.10,SYS-ID-57819,#33FF57
1536,Luciano Yllarreta,41.0,22110,S. Rafael,2026.08.10,SYS-ID-46421,#FF5733
1920,Rocio Sgrignieri,50.0,26897,Godoy Cruz ,11-08-2026,SYS-ID-95181,#57FF33
1597,Lucas Garcia ,37.0,9999999,San Rafael ,12-08-2026,SYS-ID-58520,#FF5733
1077,Rocio Sgrignieri,60.0,,G. Cruz,2026-08-11,SYS-ID-76237,#3333FF
1108,Agustin Lopez,66.0,33503,Mendoza ,FALTA_REGISTRO,SYS-ID-26483,#57FF33
1425,Lucas Garcia ,61.0,18545,San Rafael ,13/08/2026,SYS-ID-14207,#FF33F5
1585,S. Martinez,,43409,Mendoza ,2026/08/11,SYS-ID-83563,#FF5733
1854,Julieta A.,50.0,18488,MENDOZA,11/08/2026,SYS-ID-38221,#33FFF0
,juan gomez,59.0,26988,mendoza,11/08/2026,SYS-ID-59823,#3357FF
,julieta aparo,69.0,41118,san rafael,2026-08-13,SYS-ID-19071,#33FF57
1421,S. Martinez,32.0,20404,MENDOZA,13/08/2026,SYS-ID-57447,#FF5733
cli-1598,Abril Cioffi,28.0,22537,maipu,2026-08-11,SYS-ID-50306,#3357FF
1459,Ana Perez ,58.0,,maipu,13/08/2026,SYS-ID-52504,#FF5733
,Julieta Aparo,21.0,29601,Godoy Cruz,FALTA_REGISTRO,SYS-ID-44993,#33FFF0
cli-1650,Agustín López,,32351,G. Cruz,13/08/2026,SYS-ID-61856,#FF5733
1366,Ana Perez,,41036,san rafael,12-08-2026,SYS-ID-96474,#FF33F5
1322,facundo cortinas,51.0,38027,Maipu  ,12-08-2026,SYS-ID-82512,#33FFF0
1630,Maria Rodriguez,,34192,San Rafael,2026-08-13,SYS-ID-30926,#FF33F5
cli-1915,D. Garcia,44.0,26718,MENDOZA,10-08-2026,SYS-ID-12552,#3357FF
,Luciano Yllarreta,,,S Rafael,13/08/2026,SYS-ID-95909,#33FF57
1599,L. Garcia,,20288,G. Cruz,2026-08-11,SYS-ID-82357,#FF5733
